CAP,Network,Mean_Positive_Activation,Mean_Negative_Activation
CAP 1,DMN,1.3182497,0.11736477166414261
CAP 1,SMN,0.014257727,0.8633956909179688
CAP 1,VN,0.2210525,0.7491603493690491
CAP 1,FPN,0.790825,0.30762556195259094
CAP 1,DAN,0.41048107,0.7653906941413879
CAP 1,VAN,0.3105884,0.9033879041671753
CAP 1,Limbic,0.6980777,0.03377895429730415
CAP 1,CER,1.0717854,0.4910260736942291
CAP 1,SUB,0.47069448,0.10268978774547577
CAP 1,THA,0.9259001,0.18603597581386566
CAP 2,DMN,0.16549718,1.263240098953247
CAP 2,SMN,0.9388873,0.0
CAP 2,VN,0.7936959,0.2242690920829773
CAP 2,FPN,0.18126547,0.9432958960533142
CAP 2,DAN,0.64394003,0.4352346658706665
CAP 2,VAN,0.88525605,0.30346062779426575
CAP 2,Limbic,0.06252361,0.6092740893363953
CAP 2,CER,0.46879283,1.0933440923690796
CAP 2,SUB,0.17776589,0.4709024429321289
CAP 2,THA,0.15754385,0.8583097457885742
CAP 3,DMN,1.3373498,0.2666309177875519
CAP 3,SMN,0.18530987,0.5299148559570312
CAP 3,VN,0.45516917,0.28103139996528625
CAP 3,FPN,0.49898842,0.7329877614974976
CAP 3,DAN,0.48700446,0.9557034969329834
CAP 3,VAN,0.414896,1.3046997785568237
CAP 3,Limbic,0.7241974,0.33955034613609314
CAP 3,CER,0.95754194,0.5160819292068481
CAP 3,SUB,0.5899849,0.6311428546905518
CAP 3,THA,0.35720775,0.16539312899112701
CAP 4,DMN,0.5103441,0.859099805355072
CAP 4,SMN,0.36463755,0.4500606656074524
CAP 4,VN,0.2977609,1.0700362920761108
CAP 4,FPN,1.4140831,0.18537016212940216
CAP 4,DAN,1.1368107,0.3219168484210968
CAP 4,VAN,0.6902836,0.3032830059528351
CAP 4,Limbic,0.38649362,0.6022344827651978
CAP 4,CER,0.5322732,0.2392750084400177
CAP 4,SUB,0.52857465,0.7779686450958252
CAP 4,THA,0.32390368,0.07114611566066742
CAP 5,DMN,0.32823092,1.0844175815582275
CAP 5,SMN,0.69949293,0.15961217880249023
CAP 5,VN,0.85367036,0.24970978498458862
CAP 5,FPN,0.2855396,1.2681827545166016
CAP 5,DAN,0.46650007,0.5316565036773682
CAP 5,VAN,0.9932695,0.375436007976532
CAP 5,Limbic,0.66880286,0.5050616264343262
CAP 5,CER,0.4394799,1.2928258180618286
CAP 5,SUB,0.66316664,0.6073930263519287
CAP 5,THA,0.113753974,0.3007633090019226
CAP 6,DMN,0.31173,0.8253868818283081
CAP 6,SMN,1.1522032,0.6542158722877502
CAP 6,VN,0.6688372,0.5294734835624695
CAP 6,FPN,0.25824133,0.8689888715744019
CAP 6,DAN,0.717177,0.34445324540138245
CAP 6,VAN,0.69302166,0.6364648342132568
CAP 6,Limbic,0.22026932,0.9198431968688965
CAP 6,CER,0.66945904,1.4504201412200928
CAP 6,SUB,0.53491837,1.5222713947296143
CAP 6,THA,0.43092236,3.0397837162017822
CAP 7,DMN,0.7836328,0.36940914392471313
CAP 7,SMN,0.80749446,1.06932532787323
CAP 7,VN,0.43927264,0.789483904838562
CAP 7,FPN,0.9710173,0.2466251105070114
CAP 7,DAN,0.33544138,0.6808724999427795
CAP 7,VAN,0.6766843,0.6667404174804688
CAP 7,Limbic,0.9070234,0.22293409705162048
CAP 7,CER,1.5775391,0.48108091950416565
CAP 7,SUB,1.5293512,0.48813045024871826
CAP 7,THA,1.9240594,0.7728725671768188
