"parameter","f_statistic","df_num","df_denom","p_value","n_obs","n_subjects","singular_fit","significance","task","p_fdr","p_bonf"
"LH_abs_error_x_m",0.237163813260822,2,40.0000000316619,0.789963399087109,60,20,FALSE,"ns","APM",0.935482972603155,1
"LH_abs_error_y_m",0.119227461556882,2,40.000000207816,0.887920126250623,60,20,FALSE,"ns","APM",0.974546480031172,1
"LH_variability_x_m",1.20082188071145,2,40.000000060248,0.311563064602749,60,20,FALSE,"ns","APM",0.652108739866218,1
"LH_variability_y_m",0.140927571279539,2,40.0000003971221,0.868981557216472,60,20,FALSE,"ns","APM",0.974546480031172,1
"LH_contraction_expansion_ratio_x",0.75877986232334,2,40.0000006540567,0.474857656335736,60,20,FALSE,"ns","APM",0.739044231385114,1
"LH_contraction_expansion_ratio_y",1.44533669085928,2,40.000001069502,0.247709425490591,60,20,FALSE,"ns","APM",0.627680280464215,1
"LH_shift_x_m",1.38796199077651,2,40.0000005137039,0.261343582684071,60,20,FALSE,"ns","APM",0.627680280464215,1
"LH_shift_y_m",0.0651702898675552,2,40.0000001078056,0.937007173650339,60,20,FALSE,"ns","APM",0.978016027412528,1
"RH_abs_error_x_m",1.91225830513434,2,40.0000008464067,0.161011589136976,60,20,FALSE,"ns","APM",0.49969113870096,1
"RH_abs_error_y_m",0.148420426776718,2,39.9999999443661,0.862541150314382,60,20,FALSE,"ns","APM",0.974546480031172,1
"RH_variability_x_m",0.928534875436397,2,39.9999998299128,0.403481280356842,60,20,FALSE,"ns","APM",0.685156891171997,1
"RH_variability_y_m",1.24585081914976,2,40.0000000331822,0.298618946832037,60,20,FALSE,"ns","APM",0.652108739866218,1
"RH_contraction_expansion_ratio_x",0.752160175073286,2,40.0000004220644,0.477896331040099,60,20,FALSE,"ns","APM",0.739044231385114,1
"RH_contraction_expansion_ratio_y",1.3730261466688,2,40.0000004737512,0.265020562862669,60,20,FALSE,"ns","APM",0.627680280464215,1
"RH_shift_x_m",5.16737633675321,2,40.0000000424278,0.0100888356323854,60,20,FALSE,"*","APM",0.0605330137943126,0.90799520691469
"RH_shift_y_m",0.0447520711185548,2,40.0000002618906,0.956282337914471,60,20,FALSE,"ns","APM",0.978016027412528,1
"LH_posture_speed_m_s",1.12902629756013,2,40.0000004051253,0.333434274764289,60,20,FALSE,"ns","VGR",0.662461220712611,1
"LH_reaction_time_s",2.68310098553241,2,40.0000001368856,0.0806401612650122,60,20,FALSE,"ns","VGR",0.345600691135767,1
"LH_initial_direction_angle_rad",0.383798630104959,2,40.0000000142085,0.683750263881727,60,20,FALSE,"ns","VGR",0.851616468430307,1
"LH_initial_distance_ratio",3.43007301986696,2,39.9999999525268,0.042181990722142,60,20,FALSE,"*","VGR",0.202694296525065,1
"LH_initial_speed_ratio",0.0183702424831851,2,39.9999999368037,0.981805739970753,60,20,FALSE,"ns","VGR",0.981805739970753,1
"LH_speed_maxima_count",6.57177509771291,2,39.9999954914323,0.00340556042642728,60,20,FALSE,"**","VGR",0.0278636762162232,0.306500438378455
"LH_movement_time_s",0.990469747434296,2,40.0000005600213,0.380326649131067,60,20,FALSE,"ns","VGR",0.662461220712611,1
"LH_path_length_ratio",5.48128669892256,2,40.0000000608355,0.00787359056563499,60,20,FALSE,"**","VGR",0.0545094731467038,0.708623150907149
"LH_false_starts",1.82046512635915,2,38.0000001814277,0.175792482041819,57,19,FALSE,"ns","VGR",0.527377446125456,1
"RH_posture_speed_m_s",0.741220997214055,2,40.0000004019873,0.482962637862344,60,20,FALSE,"ns","VGR",0.739044231385114,1
"RH_reaction_time_s",0.0265103175684885,2,40.0000001155011,0.973855091447582,60,20,FALSE,"ns","VGR",0.981805739970753,1
"RH_initial_direction_angle_rad",0.862621607817964,2,39.9999999532508,0.429756337186386,60,20,FALSE,"ns","VGR",0.703237642668632,1
"RH_initial_distance_ratio",3.41328570215725,2,39.9999999612357,0.0427910181552914,60,20,FALSE,"*","VGR",0.202694296525065,1
"RH_initial_speed_ratio",1.52955090261674,2,40.0000000867965,0.229034285265574,60,20,FALSE,"ns","VGR",0.60626722570299,1
"RH_speed_maxima_count",1.20412436200243,2,40.0000000383151,0.31059399822126,60,20,FALSE,"ns","VGR",0.652108739866218,1
"RH_movement_time_s",1.1700148994935,2,40.0000000930058,0.320757366915697,60,20,FALSE,"ns","VGR",0.656094614145743,1
"RH_path_length_ratio",0.983789981759093,2,40.0000000528725,0.382755371967287,60,20,FALSE,"ns","VGR",0.662461220712611,1
"RH_false_starts",1.01343974479876,2,38.0000003685201,0.372567867471862,57,19,FALSE,"ns","VGR",0.662461220712611,1
"x1_targets_completed",13.7141408132307,2,40.0000002701899,2.91311734241208e-05,60,20,FALSE,"***","BOB",0.00262180560817087,0.00262180560817087
"x2_targets_completed",8.77832285144387,2,40.000000076742,0.000690701347789491,60,20,FALSE,"***","BOB",0.0103605202168424,0.0621631213010542
"x3_targets_completed",8.32831535904517,2,40.0000003627396,0.000946640192074348,60,20,FALSE,"***","BOB",0.012171088183813,0.0851976172866913
"x3_drops",1.40964494143024,2,40.0000000441989,0.256100610280697,60,20,FALSE,"ns","BOB",0.627680280464215,1
"x3_drops_targets",2.30532048744655,2,40.0000003549699,0.112831551434181,60,20,FALSE,"ns","BOB",0.430105281422257,1
"x1_mean_movement_time_s",12.2166569316176,2,40.0000001033002,7.22753931673753e-05,60,20,FALSE,"***","BOB",0.00325239269253189,0.00650478538506378
"x2_mean_movement_time_s",10.4359599844365,2,40.0000000473036,0.000225351173334635,60,20,FALSE,"***","BOB",0.00664015023940316,0.0202816056001171
"x3_mean_movement_time_s",8.81032652750373,2,40.0000003300264,0.000675517026008012,60,20,FALSE,"***","BOB",0.0103605202168424,0.0607965323407211
"x1_right_hand_speed_maxima",0.86978140710502,2,40.0000000897418,0.426817196290274,60,20,FALSE,"ns","BOB",0.703237642668632,1
"x2_right_hand_speed_maxima",0.177119906001457,2,40.0000000663348,0.838332717791486,60,20,FALSE,"ns","BOB",0.971348425677219,1
"x3_right_hand_speed_maxima",0.462950494428963,2,40.0000000790028,0.632753916303759,60,20,FALSE,"ns","BOB",0.835832988877868,1
"x1_left_hand_speed_maxima",0.373412366106535,2,40.0000000901636,0.690755579949027,60,20,FALSE,"ns","BOB",0.851616468430307,1
"x2_left_hand_speed_maxima",0.375852848433526,2,40.000000100655,0.689102780410476,60,20,FALSE,"ns","BOB",0.851616468430307,1
"x3_left_hand_speed_maxima",2.28706195122563,2,40.0000000295667,0.114694741712602,60,20,FALSE,"ns","BOB",0.430105281422257,1
"x1_mean_bar_angle_rad",0.598576509625312,2,40.0000000447451,0.554441505882592,60,20,FALSE,"ns","BOB",0.767020456771167,1
"x2_mean_bar_angle_rad",0.0968583202040538,2,40.0000004819738,0.907896824406632,60,20,FALSE,"ns","BOB",0.978016027412528,1
"x3_mean_bar_angle_rad",0.43374659045946,2,59.9999999979104,0.650092324682786,60,20,FALSE,"ns","BOB",0.835832988877868,1
"x1_bar_length_variability",0.172914088348131,2,40.0000001522333,0.84183530225359,60,20,FALSE,"ns","BOB",0.971348425677219,1
"x2_bar_length_variability",0.616205417505043,2,40.0000000387725,0.545036085476092,60,20,FALSE,"ns","BOB",0.766456995200755,1
"x3_bar_length_variability",1.75606669512779,2,40.0000000462618,0.185777144390713,60,20,FALSE,"ns","BOB",0.539352999844005,1
"x1_reaction_time_abs_diff_s",6.29604090089304,2,36.0419508908483,0.00451746265419747,54,20,FALSE,"**","BOB",0.0338809699064811,0.406571638877773
"x1_hand_speed_diff_m_s",1.05551110305208,2,38.0000003467105,0.357995418038175,57,19,FALSE,"ns","BOB",0.662461220712611,1
"x2_hand_speed_diff_m_s",2.1065401987915,2,38.0000005021323,0.135642092859071,57,19,FALSE,"ns","BOB",0.469530321435244,1
"x3_hand_speed_diff_m_s",1.63070628372652,2,38.0000005291059,0.209194658605935,57,19,FALSE,"ns","BOB",0.570530887107095,1
"x1_mean_right_hand_speed_m_s",10.028264029444,2,40.0000005710259,0.000295117788417918,60,20,FALSE,"***","BOB",0.00664015023940316,0.0265606009576126
"x2_mean_right_hand_speed_m_s",7.96708819491585,2,40.0000002871217,0.0012236433960167,60,20,FALSE,"**","BOB",0.012236433960167,0.110127905641503
"x3_mean_right_hand_speed_m_s",5.35480284089356,2,40.0000000737969,0.00869751439992926,60,20,FALSE,"**","BOB",0.0559125925709738,0.782776295993633
"x1_mean_left_hand_speed_m_s",8.02381349049984,2,40.0000000474619,0.00117504699009974,60,20,FALSE,"**","BOB",0.012236433960167,0.105754229108977
"x2_mean_left_hand_speed_m_s",6.59817613846356,2,40.0000006052,0.00333858743733874,60,20,FALSE,"**","BOB",0.0278636762162232,0.300472869360486
"x3_mean_left_hand_speed_m_s",4.13466620184379,2,40.0000000870237,0.0233224397896337,60,20,FALSE,"*","BOB",0.123471740062767,1
"x1_mean_bar_angle_rad",0.598576509625312,2,40.0000000447451,0.554441505882592,60,20,FALSE,"ns","BOB",0.767020456771167,1
"x2_mean_bar_angle_rad",0.0968583202040538,2,40.0000004819738,0.907896824406632,60,20,FALSE,"ns","BOB",0.978016027412528,1
"x3_mean_bar_angle_rad",0.43374659045946,2,59.9999999979104,0.650092324682786,60,20,FALSE,"ns","BOB",0.835832988877868,1
"x1_stdev_bar_angle_rad",1.0118953576252,2,40.0000000122378,0.372645025017644,60,20,FALSE,"ns","BOB",0.662461220712611,1
"x2_stdev_bar_angle_rad",0.687506220630235,2,40.0000000542415,0.508671117633047,60,20,FALSE,"ns","BOB",0.750498370278265,1
"x3_stdev_bar_angle_rad",0.737529596379794,2,40.0000000451064,0.484684951781262,60,20,FALSE,"ns","BOB",0.739044231385114,1
"x1_norm_absolute_hand_speed_diff",0.342792235653736,2,40.0000000341646,0.711850249084963,60,20,FALSE,"ns","BOB",0.865763816454685,1
"x2_norm_absolute_hand_speed_diff",0.078076944386723,2,40.0000000366204,0.925033857321771,60,20,FALSE,"ns","BOB",0.978016027412528,1
"x3_norm_absolute_hand_speed_diff",1.25967373341516,2,40.0000003777802,0.29475963387652,60,20,FALSE,"ns","BOB",0.652108739866218,1
"x1_hand_speed_peak_bias",0.996871672577858,2,40.0000000472494,0.378014130407858,60,20,FALSE,"ns","BOB",0.662461220712611,1
