"parameter","f_statistic","df_num","df_denom","p_value","n_valid_perms","n_obs","singular_warnings","original_singular","significance"
"LH_abs_error_x_m",0.231846150502687,2,40.0000000267323,0.8027,10000,60,0,FALSE,"ns"
"LH_abs_error_y_m",0.115252776638449,2,40.0000002045452,0.8944,10000,60,0,FALSE,"ns"
"LH_variability_x_m",4.52298616084534,2,40.0000003655826,0.0238,10000,60,0,FALSE,"*"
"LH_variability_y_m",1.51542737820612,2,40.0000000804598,0.2512,10000,60,0,FALSE,"ns"
"LH_contraction_expansion_ratio_x",1.05360235718422,2,40.0000005610153,0.3697,10000,60,0,FALSE,"ns"
"LH_contraction_expansion_ratio_y",1.66930067344068,2,40.0000009975429,0.2169,10000,60,0,FALSE,"ns"
"LH_shift_x_m",0.0608609384468569,2,40.0000003326765,0.9432,10000,60,0,FALSE,"ns"
"LH_shift_y_m",0.0481552929604035,2,40.0000001065836,0.955,10000,60,0,FALSE,"ns"
"RH_abs_error_x_m",0.507784185304196,2,40.0000000483117,0.6187,10000,60,0,FALSE,"ns"
"RH_abs_error_y_m",1.67722423516338,2,40.0000000084883,0.2136,10000,60,0,FALSE,"ns"
"RH_variability_x_m",0.162588923422574,2,39.9999999223283,0.862,10000,60,0,FALSE,"ns"
"RH_variability_y_m",1.52063451438967,2,40.0000000302134,0.2511,10000,60,0,FALSE,"ns"
"RH_contraction_expansion_ratio_x",2.03562620727483,2,40.0000008233162,0.155,10000,60,0,FALSE,"ns"
"RH_contraction_expansion_ratio_y",0.722854169140949,2,40.0000003269207,0.5049,10000,60,0,FALSE,"ns"
"RH_shift_x_m",0.225505621804712,2,40.0000001016249,0.8129,10000,60,0,FALSE,"ns"
"RH_shift_y_m",2.10811034660961,2,40.0000002238219,0.1553,10000,60,0,FALSE,"ns"
