"parameter","f_statistic","df_num","df_denom","p_value","n_valid_perms","n_obs","singular_warnings","original_singular","significance"
"x1_targets_completed",0.503319444816414,2,40.0000003124245,0.6296,10000,60,0,FALSE,"ns"
"x2_targets_completed",0.920359995591484,2,40.0000000586467,0.43,10000,60,0,FALSE,"ns"
"x3_targets_completed",0.455619641654135,2,40.0000009152045,0.6568,10000,60,0,FALSE,"ns"
"x3_drops",0.781893006848446,2,40.0000000941374,0.4874,10000,60,0,FALSE,"ns"
"x3_drops_targets",0.661373505061857,2,40.0000005895782,0.5663,10000,60,0,FALSE,"ns"
"x1_mean_movement_time_s",1.18659785932763,2,40.0000003654006,0.3344,10000,60,0,FALSE,"ns"
"x2_mean_movement_time_s",0.534752527368622,2,40.0000000321917,0.6231,10000,60,0,FALSE,"ns"
"x3_mean_movement_time_s",3.16826919039908,2,40.0000006841412,0.061,10000,60,0,FALSE,"ns"
"x1_right_hand_speed_maxima",0.0976730064977766,2,40.0000001073003,0.9175,10000,60,0,FALSE,"ns"
"x2_right_hand_speed_maxima",0.720073981378418,2,40.0000005695952,0.513,10000,60,0,FALSE,"ns"
"x3_right_hand_speed_maxima",0.541748446668195,2,40.0000000777548,0.6042,10000,60,0,FALSE,"ns"
"x1_left_hand_speed_maxima",0.0661183653107944,2,40.0000004978039,0.9439,10000,60,0,FALSE,"ns"
"x2_left_hand_speed_maxima",0.268062456133628,2,40.0000001177574,0.7785,10000,60,0,FALSE,"ns"
"x3_left_hand_speed_maxima",0.668109112354901,2,40.0000000730785,0.5448,10000,60,0,FALSE,"ns"
"x1_mean_bar_angle_rad",0.66812242752563,2,40.000000039776,0.5561,10000,60,0,FALSE,"ns"
"x2_mean_bar_angle_rad",1.00575680066429,2,40.0000000664377,0.3886,10000,60,0,FALSE,"ns"
"x3_mean_bar_angle_rad",0.16585591615244,2,60.0000000000586,0.8754,10000,60,0,FALSE,"ns"
"x1_bar_length_variability",3.08423938846785,2,40.0000000258389,0.053,10000,60,0,FALSE,"ns"
"x2_bar_length_variability",6.63944337056777,2,40.0000000402442,0.0051,10000,60,0,FALSE,"**"
"x3_bar_length_variability",1.91017806447195,2,40.0000000442837,0.1691,10000,60,0,FALSE,"ns"
"x1_reaction_time_abs_diff_s",2.41319231242134,2,33.908747902633,0.1109,10000,54,0,FALSE,"ns"
"x1_hand_speed_diff_m_s",1.238774526361,2,38.0000003578414,0.3266,10000,57,0,FALSE,"ns"
"x2_hand_speed_diff_m_s",2.78381251380222,2,38.0000004861616,0.085,10000,57,0,FALSE,"ns"
"x3_hand_speed_diff_m_s",0.420394357440673,2,38.0000003870338,0.6863,10000,57,0,FALSE,"ns"
"x1_mean_right_hand_speed_m_s",0.909905694808453,2,40.0000000578793,0.433,10000,60,0,FALSE,"ns"
"x2_mean_right_hand_speed_m_s",0.256815902346227,2,40.0000001011267,0.7996,10000,60,0,FALSE,"ns"
"x3_mean_right_hand_speed_m_s",0.821603707672937,2,40.0000003993688,0.4755,10000,60,0,FALSE,"ns"
"x1_mean_left_hand_speed_m_s",1.16010104853101,2,40.000000059161,0.341,10000,60,0,FALSE,"ns"
"x2_mean_left_hand_speed_m_s",0.284095002222207,2,40.0000001262366,0.7852,10000,60,0,FALSE,"ns"
"x3_mean_left_hand_speed_m_s",1.01937976085295,2,40.0000001228757,0.3913,10000,60,0,FALSE,"ns"
"x1_mean_bar_angle_rad",0.66812242752563,2,40.000000039776,0.5568,10000,60,0,FALSE,"ns"
"x2_mean_bar_angle_rad",1.00575680066429,2,40.0000000664377,0.3975,10000,60,0,FALSE,"ns"
"x3_mean_bar_angle_rad",0.16585591615244,2,60.0000000000586,0.8806,10000,60,0,FALSE,"ns"
"x1_stdev_bar_angle_rad",0.650802846585786,2,40.0000000113266,0.549,10000,60,0,FALSE,"ns"
"x2_stdev_bar_angle_rad",1.7949956500533,2,40.0000008542529,0.1878,10000,60,0,FALSE,"ns"
"x3_stdev_bar_angle_rad",0.0923362699028346,2,40.0000004397467,0.9186,10000,60,0,FALSE,"ns"
"x1_norm_absolute_hand_speed_diff",0.381861224743576,2,40.0000000519005,0.7063,10000,60,0,FALSE,"ns"
"x2_norm_absolute_hand_speed_diff",2.29640968646198,2,40.0000032788785,0.1256,10000,60,0,FALSE,"ns"
"x3_norm_absolute_hand_speed_diff",0.268000952323343,2,40.0000000483862,0.78,10000,60,0,FALSE,"ns"
"x1_hand_speed_peak_bias",0.170493888447721,2,40.0000000458059,0.8489,10000,60,0,FALSE,"ns"
"x2_hand_speed_peak_bias",0.491278944774034,2,39.9999999333452,0.6241,10000,60,0,FALSE,"ns"
"x3_hand_speed_peak_bias",0.0517246914791938,2,40.0000000762809,0.9507,10000,60,0,FALSE,"ns"
"x1_hand_path_bias",0.577655720602331,2,40.0000002795343,0.5818,10000,60,0,FALSE,"ns"
"x2_hand_path_bias",0.00662290941666148,2,40.0000003269571,0.9933,10000,60,0,FALSE,"ns"
"x3_hand_path_bias",0.965674653813887,2,40.0000001200605,0.4121,10000,60,0,FALSE,"ns"
