"parameter","f_statistic","df_num","df_denom","p_value","n_valid_perms","n_obs","singular_warnings","original_singular","significance"
"total_hits",0.231970008247042,2,40.000000653345,0.8078,10000,60,0,FALSE,"ns"
"hits_with_left",0.721712987537041,2,38.0000000286258,0.5012,10000,57,0,FALSE,"ns"
"hits_with_right",0.329808213618998,2,38.0000004933214,0.7316,10000,57,0,FALSE,"ns"
"hand_bias_of_hits",0.483363182840819,2,40.0000000713389,0.6359,10000,60,0,FALSE,"ns"
"median_error",1.65017304503067,2,40.0000009268768,0.2228,10000,60,0,FALSE,"ns"
"miss_bias",1.20370408559652,2,40.000000043102,0.3315,10000,60,0,FALSE,"ns"
"hand_speed_right_m_s",0.0540405246354972,2,40.0000000655397,0.9528,10000,60,0,FALSE,"ns"
"hand_speed_left_m_s",0.0953161365871076,2,40.0000000506437,0.9135,10000,60,0,FALSE,"ns"
"hand_speed_bias",0.0360243936261205,2,40.0000002944598,0.9659,10000,60,0,FALSE,"ns"
"movement_area_right_hand_m_2",0.0453140787027003,2,40.0000000375635,0.961,10000,60,0,FALSE,"ns"
"movement_area_left_hand_m_2",0.300815337307574,2,40.0000000453694,0.7536,10000,60,0,FALSE,"ns"
"movement_area_bias",0.0966763629366676,2,39.9999960700698,0.9109,10000,60,0,FALSE,"ns"
"hand_transition",0.17833098054575,2,59.9999999993601,0.8483,10000,60,0,FALSE,"ns"
"hand_selection_overlap",0.189649568333297,2,40.000000040041,0.8415,10000,60,0,FALSE,"ns"
