"parameter","f_statistic","df_num","df_denom","p_value","n_valid_perms","n_obs","singular_warnings","original_singular","significance"
"LH_posture_speed_m_s",0.543025099116661,2,40.0000000460059,0.6399,10000,60,0,FALSE,"ns"
"LH_reaction_time_s",0.29216757066663,2,40.000000424463,0.7546,10000,60,0,FALSE,"ns"
"LH_initial_direction_angle_rad",1.90194965868085,2,40.0000015564339,0.1819,10000,60,0,FALSE,"ns"
"LH_initial_distance_ratio",1.08751941158768,2,39.9999999279263,0.3974,10000,60,0,FALSE,"ns"
"LH_initial_speed_ratio",1.17305765809082,2,39.9999997336805,0.3555,10000,60,0,FALSE,"ns"
"LH_speed_maxima_count",0.898310822008784,2,60.00000000093,0.45,10000,60,0,FALSE,"ns"
"LH_movement_time_s",0.795526471702983,2,40.0000006630068,0.4812,10000,60,0,FALSE,"ns"
"LH_path_length_ratio",0.403672234897348,2,40.0000000468981,0.6851,10000,60,0,FALSE,"ns"
"LH_false_starts",0.462608698533287,2,38.0000002156806,0.6796,10000,57,0,FALSE,"ns"
"RH_posture_speed_m_s",0.374113486806252,2,40.0000003904788,0.7109,10000,60,0,FALSE,"ns"
"RH_reaction_time_s",0.281543115130655,2,40.0000005210077,0.7612,10000,60,0,FALSE,"ns"
"RH_initial_direction_angle_rad",0.144398666415069,2,39.9999999404739,0.8718,10000,60,0,FALSE,"ns"
"RH_initial_distance_ratio",0.271498916781285,2,39.9999991253632,0.7752,10000,60,0,FALSE,"ns"
"RH_initial_speed_ratio",1.91943731859815,2,40.0000000151888,0.178,10000,60,0,FALSE,"ns"
"RH_speed_maxima_count",0.272262050821612,2,40.0000004787989,0.7714,10000,60,0,FALSE,"ns"
"RH_movement_time_s",1.9779767963596,2,40.0000008608281,0.1694,10000,60,0,FALSE,"ns"
"RH_path_length_ratio",1.66538106932714,2,40.000000052029,0.2266,10000,60,0,FALSE,"ns"
"RH_false_starts",0.0989979960918269,2,38.0000000266866,0.9171,10000,57,0,FALSE,"ns"
