"parameter","comparison","n_pairs","statistic","p_value","p_corrected","cohens_d","significance"
"LH_abs_error_x_m","bi-tDCS vs sham",20,-0.381345726721752,0.707177714600608,1,-0.0852714967878896,""
"LH_abs_error_x_m","bi-tDCS vs ua-tDCS",20,-0.697404095667721,0.493996219357117,1,-0.155944296569979,""
"LH_abs_error_x_m","ua-tDCS vs sham",20,0.286410782606869,0.777663193530302,1,0.0640433979397873,""
"LH_abs_error_y_m","bi-tDCS vs sham",20,-0.508736320547732,0.61679374148324,1,-0.113756899536785,""
"LH_abs_error_y_m","bi-tDCS vs ua-tDCS",20,-0.346724193575596,0.732609057139443,1,-0.0775298866278828,""
"LH_abs_error_y_m","ua-tDCS vs sham",20,-0.0438981271719089,0.965443680472786,1,-0.0098159196441319,""
"LH_contraction_expansion_ratio_x","bi-tDCS vs sham",20,-1.25878747623431,0.223354561924808,0.670063685774424,-0.281473436608531,""
"LH_contraction_expansion_ratio_x","bi-tDCS vs ua-tDCS",20,-0.28813263132103,0.776364816477339,1,-0.0644284150169708,""
"LH_contraction_expansion_ratio_x","ua-tDCS vs sham",20,-1.25651672227177,0.224158318186691,0.672474954560073,-0.280965680586491,""
"LH_contraction_expansion_ratio_y","bi-tDCS vs sham",20,-1.90345581520912,0.0722419163643541,0.216725749093062,-0.425625659497487,"."
"LH_contraction_expansion_ratio_y","bi-tDCS vs ua-tDCS",20,-0.756555430174975,0.458595356972657,1,-0.169170937061784,""
"LH_contraction_expansion_ratio_y","ua-tDCS vs sham",20,-1.18670240996475,0.24997183477777,0.74991550433331,-0.2653547257744,""
"LH_shift_x_m","bi-tDCS vs sham",20,-0.218633021070778,0.829267203540015,1,-0.0488878297240402,""
"LH_shift_x_m","bi-tDCS vs ua-tDCS",20,0.134656958188839,0.894299342413408,1,0.030110211215359,""
"LH_shift_x_m","ua-tDCS vs sham",20,-0.31089255434036,0.759267282476916,1,-0.0695176885203592,""
"LH_shift_y_m","bi-tDCS vs sham",20,-0.257268642610366,0.799736973395025,1,-0.0575270173355877,""
"LH_shift_y_m","bi-tDCS vs ua-tDCS",20,0.0354014628258637,0.97212890578066,1,0.00791600773815631,""
"LH_shift_y_m","ua-tDCS vs sham",20,-0.287258834286249,0.777023627655586,1,-0.06423302806014,""
"LH_variability_x_m","bi-tDCS vs sham",20,2.96551318463974,0.00794511633443784,0.0238353490033135,0.663108906902634,"**"
"LH_variability_x_m","bi-tDCS vs ua-tDCS",20,1.41663159193056,0.172778391700651,0.518335175101952,0.316768453863047,""
"LH_variability_x_m","ua-tDCS vs sham",20,1.52313489872115,0.144196034025655,0.432588102076966,0.340583317244276,""
"LH_variability_y_m","bi-tDCS vs sham",20,-1.53696199053465,0.140789268429201,0.422367805287604,-0.343675148966887,""
"LH_variability_y_m","bi-tDCS vs ua-tDCS",20,-1.58161439523889,0.130241557729058,0.390724673187174,-0.353659730194638,""
"LH_variability_y_m","ua-tDCS vs sham",20,0.24464752199066,0.809352022341707,1,0.054704848969799,""
"RH_abs_error_x_m","bi-tDCS vs sham",20,0.0249555568817867,0.980350653678513,1,0.00558023216040378,""
"RH_abs_error_x_m","bi-tDCS vs ua-tDCS",20,-0.750796178712511,0.461973357253013,1,-0.167883129284826,""
"RH_abs_error_x_m","ua-tDCS vs sham",20,0.945391638883765,0.356327538270616,1,0.211395996990403,""
"RH_abs_error_y_m","bi-tDCS vs sham",20,-1.6857743183543,0.108192278900614,0.324576836701843,-0.376950597056358,""
"RH_abs_error_y_m","bi-tDCS vs ua-tDCS",20,-1.6513696996819,0.115094898878032,0.345284696634097,-0.369257490447213,""
"RH_abs_error_y_m","ua-tDCS vs sham",20,-0.234457413810993,0.817137909185284,1,-0.0524262715110178,""
"RH_contraction_expansion_ratio_x","bi-tDCS vs sham",20,1.91792035274688,0.0702774005426518,0.210832201627956,0.42886002841724,"."
"RH_contraction_expansion_ratio_x","bi-tDCS vs ua-tDCS",20,1.07905466855476,0.294071942422553,0.882215827267658,0.241283959032694,""
"RH_contraction_expansion_ratio_x","ua-tDCS vs sham",20,0.905601113124654,0.37648825556057,1,0.20249856494462,""
"RH_contraction_expansion_ratio_y","bi-tDCS vs sham",20,0.715437688105395,0.483038662532999,1,0.159976730426896,""
"RH_contraction_expansion_ratio_y","bi-tDCS vs ua-tDCS",20,-0.437852862477949,0.666430055631958,1,-0.0979068764643562,""
"RH_contraction_expansion_ratio_y","ua-tDCS vs sham",20,1.17256220097345,0.255463743044894,0.766391229134681,0.262192878922341,""
"RH_shift_x_m","bi-tDCS vs sham",20,0.30033682648879,0.767181679134177,1,0.0671573560175494,""
"RH_shift_x_m","bi-tDCS vs ua-tDCS",20,-0.37366397984975,0.712791225262433,1,-0.0835538059687152,""
"RH_shift_x_m","ua-tDCS vs sham",20,0.61761125022491,0.544163665109558,1,0.138102073917153,""
"RH_shift_y_m","bi-tDCS vs sham",20,1.75740997578815,0.0949497955343427,0.284849386603028,0.392968817019857,"."
"RH_shift_y_m","bi-tDCS vs ua-tDCS",20,1.94899741423844,0.0662160397881148,0.198648119364344,0.435809070620846,"."
"RH_shift_y_m","ua-tDCS vs sham",20,0.181722738387498,0.857725001881437,1,0.0406344396091856,""
"RH_variability_x_m","bi-tDCS vs sham",20,0.00144800120828419,0.998859757946036,1,0.000323782913322528,""
"RH_variability_x_m","bi-tDCS vs ua-tDCS",20,0.579698620093694,0.568928785567219,1,0.129624552099233,""
"RH_variability_x_m","ua-tDCS vs sham",20,-0.512300142413819,0.614344816445231,1,-0.114553794332012,""
"RH_variability_y_m","bi-tDCS vs sham",20,0.200859681437328,0.842942834992287,1,0.0449135901632818,""
