"parameter","comparison","n_pairs","statistic","p_value","p_corrected","cohens_d","significance"
"x1_bar_length_variability","bi-tDCS vs sham",20,-1.92807059196584,0.0689272387242662,0.206781716172799,-0.431129690905388,"."
"x1_bar_length_variability","bi-tDCS vs ua-tDCS",20,-0.250224107992141,0.805099719422274,1,-0.0559518115079675,""
"x1_bar_length_variability","ua-tDCS vs sham",20,-1.83823974041708,0.0817140028786955,0.245142008636087,-0.411042901851417,"."
"x1_hand_path_bias","bi-tDCS vs sham",20,0.888346474369565,0.385462898442387,1,0.198640310426262,""
"x1_hand_path_bias","bi-tDCS vs ua-tDCS",20,0.291855431293604,0.773559914322077,1,0.0652608583975017,""
"x1_hand_path_bias","ua-tDCS vs sham",20,0.75625370388835,0.458771957731134,1,0.169103469013035,""
"x1_hand_speed_diff_m_s","bi-tDCS vs sham",19,-0.656437891325085,0.51984696035871,1,-0.150597180578789,""
"x1_hand_speed_diff_m_s","bi-tDCS vs ua-tDCS",19,0.945203449469187,0.357071247246936,1,0.21684454301696,""
"x1_hand_speed_diff_m_s","ua-tDCS vs sham",19,-1.370416745817,0.187406861257387,0.562220583772161,-0.314395163450115,""
"x1_hand_speed_peak_bias","bi-tDCS vs sham",20,-0.415179324676977,0.68266145896797,1,-0.0928369192830177,""
"x1_hand_speed_peak_bias","bi-tDCS vs ua-tDCS",20,0.031471920925557,0.97522143902444,1,0.00703733545720435,""
"x1_hand_speed_peak_bias","ua-tDCS vs sham",20,-0.693864670708154,0.496163605937969,1,-0.155152857088894,""
"x1_left_hand_speed_maxima","bi-tDCS vs sham",20,-0.259224170642798,0.798250096721984,1,-0.0579642866968302,""
"x1_left_hand_speed_maxima","bi-tDCS vs ua-tDCS",20,-0.307535864414893,0.761781131507293,1,-0.0687671098350858,""
"x1_left_hand_speed_maxima","ua-tDCS vs sham",20,0.142721413085619,0.888012859611014,1,0.0319134781504272,""
"x1_mean_bar_angle_rad","bi-tDCS vs sham",20,0.257745387106266,0.799374410367318,1,0.0576336206456609,""
"x1_mean_bar_angle_rad","bi-tDCS vs ua-tDCS",20,-0.907532397135913,0.375492470342096,1,-0.202930413177924,""
"x1_mean_bar_angle_rad","ua-tDCS vs sham",20,1.28969258644898,0.21263582437183,0.637907473115491,0.288384029337745,""
"x1_mean_left_hand_speed_m_s","bi-tDCS vs sham",20,-1.05883470913696,0.30295130723912,0.908853921717359,-0.236762638656646,""
"x1_mean_left_hand_speed_m_s","bi-tDCS vs ua-tDCS",20,0.565450123945006,0.578384566693301,1,0.126438491502672,""
"x1_mean_left_hand_speed_m_s","ua-tDCS vs sham",20,-1.40834111298653,0.175183651963845,0.525550955891534,-0.314914646414558,""
"x1_mean_movement_time_s","bi-tDCS vs sham",20,1.17644535622925,0.253946613557712,0.761839840673135,0.263061178834257,""
"x1_mean_movement_time_s","bi-tDCS vs ua-tDCS",20,-0.473325872318323,0.641373469301247,1,-0.105838882601316,""
"x1_mean_movement_time_s","ua-tDCS vs sham",20,1.546866138156,0.138390353414716,0.415171060244149,0.345889783700939,""
"x1_mean_right_hand_speed_m_s","bi-tDCS vs sham",20,-0.753265944715041,0.460522918816148,1,-0.168435385751843,""
"x1_mean_right_hand_speed_m_s","bi-tDCS vs ua-tDCS",20,0.619004130703357,0.54326494588544,1,0.138413531460587,""
"x1_mean_right_hand_speed_m_s","ua-tDCS vs sham",20,-1.29130404272596,0.21208811816174,0.63626435448522,-0.288744361915555,""
"x1_norm_absolute_hand_speed_diff","bi-tDCS vs sham",20,-0.442464629215413,0.663148835950075,1,-0.0989380988564904,""
"x1_norm_absolute_hand_speed_diff","bi-tDCS vs ua-tDCS",20,0.457938243368004,0.652190771537387,1,0.10239810416677,""
"x1_norm_absolute_hand_speed_diff","ua-tDCS vs sham",20,-0.773615931604113,0.448677004764351,1,-0.172985781154362,""
"x1_reaction_time_abs_diff_s","bi-tDCS vs sham",16,-0.200957961639424,0.843430979444267,1,-0.050239490409856,""
"x1_reaction_time_abs_diff_s","bi-tDCS vs ua-tDCS",17,-2.22308348498329,0.0409676541217441,0.122902962365232,-0.539176942538372,"*"
"x1_reaction_time_abs_diff_s","ua-tDCS vs sham",17,1.61938861271673,0.124903547684649,0.374710643053947,0.392759429361972,""
"x1_right_hand_speed_maxima","bi-tDCS vs sham",20,-0.459639961945463,0.650990531384476,1,-0.102778620008547,""
"x1_right_hand_speed_maxima","bi-tDCS vs ua-tDCS",20,-0.160806053673597,0.873943618001577,1,-0.0359573267207643,""
"x1_right_hand_speed_maxima","ua-tDCS vs sham",20,-0.269573800118326,0.790394095869409,1,-0.0602785342017518,""
"x1_stdev_bar_angle_rad","bi-tDCS vs sham",20,-0.502943762053724,0.620784007900551,1,-0.112461644081161,""
"x1_stdev_bar_angle_rad","bi-tDCS vs ua-tDCS",20,0.614381295412486,0.546250777546031,1,0.13737983406467,""
"x1_stdev_bar_angle_rad","ua-tDCS vs sham",20,-1.06637396013324,0.29961824724029,0.89885474172087,-0.238448466429358,""
"x1_targets_completed","bi-tDCS vs sham",20,-0.839899466506915,0.411409284329462,1,-0.187807230137527,""
"x1_targets_completed","bi-tDCS vs ua-tDCS",20,0.163830309859025,0.871594912670065,1,0.0366335709619634,""
"x1_targets_completed","ua-tDCS vs sham",20,-1.05845970326774,0.303117788052318,0.909353364156954,-0.236678784795093,""
"x2_bar_length_variability","bi-tDCS vs sham",20,-2.88464123533478,0.00949353729815509,0.0284806118944653,-0.645025389290754,"**"
"x2_bar_length_variability","bi-tDCS vs ua-tDCS",20,0.122366973414761,0.903893424879505,1,0.0273620870756315,""
"x2_bar_length_variability","ua-tDCS vs sham",20,-2.83787437461182,0.0105175042671426,0.0315525128014277,-0.634568001323672,"**"
"x2_hand_path_bias","bi-tDCS vs sham",20,0.107475694478252,0.915538395494814,1,0.024032295878237,""
"x2_hand_path_bias","bi-tDCS vs ua-tDCS",20,0.0488179295635737,0.961573918149139,1,0.0109160209024947,""
"x2_hand_path_bias","ua-tDCS vs sham",20,0.0628208863420465,0.950565315987829,1,0.0140471772267604,""
"x2_hand_speed_diff_m_s","bi-tDCS vs sham",19,-2.04444358681656,0.0558193437835941,0.167458031350782,-0.469027525826485,"."
"x2_hand_speed_diff_m_s","bi-tDCS vs ua-tDCS",19,0.602442472622902,0.55439402253396,1,0.138209781971579,""
"x2_hand_speed_diff_m_s","ua-tDCS vs sham",19,-1.99403219228701,0.0615229828291111,0.184568948487333,-0.457462358755049,"."
"x2_hand_speed_peak_bias","bi-tDCS vs sham",20,-0.449669266019848,0.658036786546902,1,-0.100549104621282,""
"x2_hand_speed_peak_bias","bi-tDCS vs ua-tDCS",20,0.51889131760882,0.609827845161419,1,0.116027625910776,""
"x2_hand_speed_peak_bias","ua-tDCS vs sham",20,-0.966096903397099,0.346132691465336,1,-0.216025834884796,""
"x2_left_hand_speed_maxima","bi-tDCS vs sham",20,-0.69414276532746,0.495993114926119,1,-0.155215040936189,""
"x2_left_hand_speed_maxima","bi-tDCS vs ua-tDCS",20,-0.527564153927833,0.603908708404781,1,-0.11796693106748,""
"x2_left_hand_speed_maxima","ua-tDCS vs sham",20,0.0475691146176536,0.962556108099654,1,0.0106367773914552,""
"x2_mean_bar_angle_rad","bi-tDCS vs sham",20,0.498490414697072,0.62385997277978,1,0.111465845339471,""
"x2_mean_bar_angle_rad","bi-tDCS vs ua-tDCS",20,-0.900370534396763,0.379194015100862,1,-0.201328971984897,""
