"parameter","comparison","n_pairs","statistic","p_value","p_corrected","cohens_d","significance"
"hand_bias_of_hits","bi-tDCS vs sham",20,-1.07702361689756,0.294955251945023,0.884865755835069,-0.240829802075563,""
"hand_bias_of_hits","bi-tDCS vs ua-tDCS",20,-0.694947005816204,0.495500250673539,1,-0.155394874576497,""
"hand_bias_of_hits","ua-tDCS vs sham",20,0.020774801861826,0.983641921134159,1,0.00464538691821322,""
"hand_selection_overlap","bi-tDCS vs sham",20,-0.515857401762508,0.6119050260161,1,-0.115349221703739,""
"hand_selection_overlap","bi-tDCS vs ua-tDCS",20,-0.259230517263299,0.798245272382296,1,-0.0579657058443169,""
"hand_selection_overlap","ua-tDCS vs sham",20,-0.40038454252656,0.693339457623054,1,-0.0895287054229544,""
"hand_speed_bias","bi-tDCS vs sham",20,-0.0560912605953789,0.955854764533097,1,-0.0125423871634923,""
"hand_speed_bias","bi-tDCS vs ua-tDCS",20,-0.206447017578668,0.838637938268329,1,-0.0461629565057997,""
"hand_speed_bias","ua-tDCS vs sham",20,0.219562914481015,0.828553196101291,1,0.0490957602117522,""
"hand_speed_left_m_s","bi-tDCS vs sham",20,-0.137093517661153,0.892399195172943,1,-0.0306550424764907,""
"hand_speed_left_m_s","bi-tDCS vs ua-tDCS",20,0.23105152628508,0.81974462075844,1,0.0516646919078518,""
"hand_speed_left_m_s","ua-tDCS vs sham",20,-0.611809594834274,0.54791560381419,1,-0.136804784333604,""
"hand_speed_right_m_s","bi-tDCS vs sham",20,-0.328378296435799,0.746217089744569,1,-0.0734276193166023,""
"hand_speed_right_m_s","bi-tDCS vs ua-tDCS",20,-0.118205883867235,0.9071452640624,1,-0.0264316391667582,""
"hand_speed_right_m_s","ua-tDCS vs sham",20,-0.220624730944894,0.827738080328302,1,-0.0493331895910385,""
"hand_transition","bi-tDCS vs sham",20,-0.380881846132224,0.707516216099758,1,-0.0851677699347269,""
"hand_transition","bi-tDCS vs ua-tDCS",20,-0.496433409212459,0.625283164962514,1,-0.111005884930103,""
"hand_transition","ua-tDCS vs sham",20,0.240634477196571,0.812415858121756,1,0.0538075048741656,""
"hits_with_left","bi-tDCS vs sham",19,0.618075098858309,0.544267743730929,1,0.141796152391699,""
"hits_with_left","bi-tDCS vs ua-tDCS",19,0.982923704201801,0.338673214291833,1,0.225498162938227,""
"hits_with_left","ua-tDCS vs sham",19,-0.684465594960719,0.502399769809863,1,-0.157027176777064,""
"hits_with_right","bi-tDCS vs sham",19,-0.73898254669908,0.469445173544992,1,-0.169534223268506,""
"hits_with_right","bi-tDCS vs ua-tDCS",19,-0.475201520647299,0.640358627890716,1,-0.109018705595707,""
"hits_with_right","ua-tDCS vs sham",19,-0.335372935035493,0.741220865771573,1,-0.0769398280114919,""
"median_error","bi-tDCS vs sham",20,-1.8783567239662,0.0757661809496716,0.227298542849015,-0.420013332078223,"."
"median_error","bi-tDCS vs ua-tDCS",20,-0.659667546583647,0.517384254160604,1,-0.147506147671154,""
"median_error","ua-tDCS vs sham",20,-1.09775851739804,0.286027620996142,0.858082862988427,-0.245466266778141,""
"miss_bias","bi-tDCS vs sham",20,1.3255773247411,0.200698403394866,0.602095210184599,0.296408100755341,""
"miss_bias","bi-tDCS vs ua-tDCS",20,0.166983810071409,0.869147136263587,1,0.0373387150461586,""
"miss_bias","ua-tDCS vs sham",20,1.3166407549353,0.203620758922728,0.610862276768184,0.294409822998196,""
"movement_area_bias","bi-tDCS vs sham",20,0.347198879978458,0.732258139361229,1,0.0776360297343622,""
"movement_area_bias","bi-tDCS vs ua-tDCS",20,0.360430504133438,0.722501096591907,1,0.0805947108406885,""
"movement_area_bias","ua-tDCS vs sham",20,-0.0829447977323776,0.934763062771608,1,-0.0185470206109567,""
"movement_area_left_hand_m_2","bi-tDCS vs sham",20,-0.494707770492327,0.626478258212841,1,-0.110620020381821,""
"movement_area_left_hand_m_2","bi-tDCS vs ua-tDCS",20,-0.701287516520946,0.49162449489078,1,-0.156812655871284,""
"movement_area_left_hand_m_2","ua-tDCS vs sham",20,0.173116235065491,0.86439099075773,1,0.038709966961527,""
"movement_area_right_hand_m_2","bi-tDCS vs sham",20,-0.210897578119032,0.835212620330072,1,-0.0471581320964228,""
"movement_area_right_hand_m_2","bi-tDCS vs ua-tDCS",20,-0.341135424479809,0.736745147562616,1,-0.0762801998670099,""
"movement_area_right_hand_m_2","ua-tDCS vs sham",20,0.0376534115946121,0.970356832276991,1,0.00841955879103313,""
"total_hits","bi-tDCS vs sham",20,-0.0435090545466729,0.96574975162837,1,-0.0097289203603107,""
"total_hits","bi-tDCS vs ua-tDCS",20,0.547003289227036,0.590743952804471,1,0.122313653862763,""
"total_hits","ua-tDCS vs sham",20,-0.575122696912529,0.571956812459738,1,-0.128601344569942,""
