"parameter","comparison","n_pairs","statistic","p_value","p_corrected","cohens_d","significance"
"LH_false_starts","bi-tDCS vs sham",19,-0.622171016838255,0.54163112680769,0.755138750277048,-0.142735820420942,""
"LH_false_starts","bi-tDCS vs ua-tDCS",19,0.316667888381556,0.755138750277048,0.755138750277048,0.0726485960062957,""
"LH_false_starts","ua-tDCS vs sham",19,-0.879357543742857,0.390796165247483,0.755138750277048,-0.201738456232382,""
"LH_initial_direction_angle_rad","bi-tDCS vs sham",20,-0.208674559198992,0.836923121267073,0.836923121267073,-0.046661049954375,""
"LH_initial_direction_angle_rad","bi-tDCS vs ua-tDCS",20,1.48779620894943,0.153213782445207,0.22982067366781,0.33268134598774,""
"LH_initial_direction_angle_rad","ua-tDCS vs sham",20,-1.71253462655698,0.103070856857797,0.22982067366781,-0.382934383880364,""
"LH_initial_distance_ratio","bi-tDCS vs sham",20,0.446200346159955,0.660496021810097,0.660496021810097,0.0997734305597598,""
"LH_initial_distance_ratio","bi-tDCS vs ua-tDCS",20,1.38545956954303,0.18196229885334,0.54588689656002,0.309798177757582,""
"LH_initial_distance_ratio","ua-tDCS vs sham",20,-0.867919007104566,0.396268915595715,0.594403373393573,-0.194072589884993,""
"LH_initial_speed_ratio","bi-tDCS vs sham",20,-0.609218379633734,0.549595800221333,0.549595800221333,-0.13622537100033,""
"LH_initial_speed_ratio","bi-tDCS vs ua-tDCS",20,-1.22001127168722,0.237388020329936,0.370358274171681,-0.272802813680859,""
"LH_initial_speed_ratio","ua-tDCS vs sham",20,1.19469955945036,0.246905516114454,0.370358274171681,0.267142942762005,""
"LH_movement_time_s","bi-tDCS vs sham",20,0.374949797851328,0.711850418416882,0.711850418416882,0.0838413236145373,""
"LH_movement_time_s","bi-tDCS vs ua-tDCS",20,-0.776558292826702,0.446979812207094,0.670469718310641,-0.173643713125169,""
"LH_movement_time_s","ua-tDCS vs sham",20,1.1770084340842,0.253727185353306,0.670469718310641,0.263187086870285,""
"LH_path_length_ratio","bi-tDCS vs sham",20,-0.528016385819811,0.603600830168493,0.767867296452368,-0.118068053192685,""
"LH_path_length_ratio","bi-tDCS vs ua-tDCS",20,-1.05222656545998,0.305894564326401,0.767867296452368,-0.235285012809965,""
"LH_path_length_ratio","ua-tDCS vs sham",20,0.29942405837262,0.767867296452368,0.767867296452368,0.0669532548620043,""
"LH_posture_speed_m_s","bi-tDCS vs sham",20,0.839429111673142,0.411666571160428,0.617499856740642,0.187702055599341,""
"LH_posture_speed_m_s","bi-tDCS vs ua-tDCS",20,-0.0227393740304095,0.982095285529156,0.982095285529156,-0.0050846786097789,""
"LH_posture_speed_m_s","ua-tDCS vs sham",20,1.46744335655456,0.158614482254225,0.475843446762675,0.328130309838646,""
"LH_reaction_time_s","bi-tDCS vs sham",20,-0.407029688864473,0.688535072256622,0.773243837571854,-0.0910146053161551,""
"LH_reaction_time_s","bi-tDCS vs ua-tDCS",20,0.292275208307835,0.773243837571854,0.773243837571854,0.0653547233914231,""
"LH_reaction_time_s","ua-tDCS vs sham",20,-0.816046089260761,0.424586954774566,0.773243837571854,-0.182473452835992,""
"LH_speed_maxima_count","bi-tDCS vs sham",20,-1.05133047944898,0.306295251828526,0.459442877742789,-0.235084641886536,""
"LH_speed_maxima_count","bi-tDCS vs ua-tDCS",20,-1.31274124124841,0.204906384667053,0.459442877742789,-0.293537865229889,""
"LH_speed_maxima_count","ua-tDCS vs sham",20,0.129919525799064,0.897995688403665,0.897995688403665,0.0290508891291244,""
