"parameter","f_statistic","df_num","df_denom","p_value","n_valid_perms","n_obs","singular_warnings","original_singular","significance"
"CAP1_CAP2",1.48169398998796,2,59.9999999982184,0.3231,10000,60,0,FALSE,"ns"
"CAP1_CAP3",1.15999572014412,2,39.9999958618396,0.3451,10000,60,0,FALSE,"ns"
"CAP1_CAP4",0.226246713425124,2,39.9999697899647,0.802,10000,60,0,FALSE,"ns"
"CAP1_CAP5",2.13501817210655,2,39.9999999513662,0.1468,10000,60,0,FALSE,"ns"
"CAP1_CAP6",0.558106676086188,2,59.999999999441,0.8806,10000,60,0,FALSE,"ns"
"CAP1_CAP7",5.15673627134816,2,40.0000000285556,0.0089,10000,60,0,FALSE,"**"
"CAP2_CAP1",2.3790641588534,2,59.9999999994418,0.1119,10000,60,0,FALSE,"ns"
"CAP2_CAP3",0.181843145218876,2,60.0000000001938,0.842,10000,60,0,FALSE,"ns"
"CAP2_CAP4",1.56862292184981,2,59.999999999172,0.2655,10000,60,0,FALSE,"ns"
"CAP2_CAP5",0.994798726964046,2,39.9999994742842,0.387,10000,60,0,FALSE,"ns"
"CAP2_CAP6",2.35644822691562,2,40.0000037999341,0.1188,10000,60,0,FALSE,"ns"
"CAP2_CAP7",0.531414650728004,2,59.9999999976651,0.8894,10000,60,0,FALSE,"ns"
"CAP3_CAP1",0.682365359815559,2,59.9999999997864,0.5476,10000,60,0,FALSE,"ns"
"CAP3_CAP2",1.15572371290368,2,39.9999997444012,0.3493,10000,60,0,FALSE,"ns"
"CAP3_CAP4",2.01230966290566,2,59.999999998784,0.1744,10000,60,0,FALSE,"ns"
"CAP3_CAP5",0.615318187056307,2,59.9999999993421,0.5917,10000,60,0,FALSE,"ns"
"CAP3_CAP6",1.1477504707989,2,39.9999987725051,0.3431,10000,60,0,FALSE,"ns"
"CAP3_CAP7",0.571368422549168,2,39.9999999358805,0.5107,10000,60,0,FALSE,"ns"
"CAP4_CAP1",2.31651375977215,2,60.0000000004064,0.1498,10000,60,0,FALSE,"ns"
"CAP4_CAP2",2.04704601203496,2,59.999999998999,0.203,10000,60,0,FALSE,"ns"
"CAP4_CAP3",2.09114190561536,2,40.0000000124922,0.1519,10000,60,0,FALSE,"ns"
"CAP4_CAP5",1.60730118959094,2,39.9999960863616,0.2294,10000,60,0,FALSE,"ns"
"CAP4_CAP6",0.474051448116218,2,59.9999999990071,0.6426,10000,60,0,FALSE,"ns"
"CAP4_CAP7",0.205140063707966,2,59.9999999993901,0.8311,10000,60,0,FALSE,"ns"
"CAP5_CAP1",0.598088510295892,2,59.9999999991708,0.6293,10000,60,0,FALSE,"ns"
"CAP5_CAP2",0.318770561765028,2,59.9999999980998,0.7546,10000,60,0,FALSE,"ns"
"CAP5_CAP3",1.31715624833043,2,39.9999996780096,0.3015,10000,60,0,FALSE,"ns"
"CAP5_CAP4",0.529040899061449,2,60.0000000008644,0.6359,10000,60,0,FALSE,"ns"
"CAP5_CAP6",0.150187257498892,2,59.9999999989129,0.8751,10000,60,0,FALSE,"ns"
"CAP5_CAP7",0.334522145226607,2,59.9999999997931,0.7547,10000,60,0,FALSE,"ns"
"CAP6_CAP1",2.81644439676421,2,40.0000002143859,0.0079,10000,60,0,FALSE,"**"
"CAP6_CAP2",2.12768804218504,2,39.9999999213156,0.1461,10000,60,0,FALSE,"ns"
"CAP6_CAP3",1.75112639431844,2,59.9999999997803,0.2184,10000,60,0,FALSE,"ns"
"CAP6_CAP4",0.0788002765115826,2,59.9999999986124,0.9337,10000,60,0,FALSE,"ns"
"CAP6_CAP5",0.0959458601565677,2,59.9999999978473,0.9689,10000,60,0,FALSE,"ns"
"CAP6_CAP7",1.05263157894737,2,59.9999999999951,1,10000,60,0,FALSE,"ns"
"CAP7_CAP1",0.138172975422245,2,59.9999999988597,0.881,10000,60,0,FALSE,"ns"
"CAP7_CAP2",0.0693382814634845,2,39.9999997083584,0.9604,10000,60,0,FALSE,"ns"
"CAP7_CAP3",1.17800229520116,2,59.9999999995833,0.4053,10000,60,0,FALSE,"ns"
"CAP7_CAP4",0.117922967532789,2,60.0000000000155,0.9022,10000,60,0,FALSE,"ns"
"CAP7_CAP5",0.139440792165758,2,59.9999999976972,0.8739,10000,60,0,FALSE,"ns"
"CAP7_CAP6",NA,2,NA,NA,0,60,0,FALSE,NA
