"task","metric","condition","parameter","correlation","p_value","r_squared","n_obs","sig"
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_contraction_expansion_ratio_y",0.592238815048929,0.00960801632626745,0.35074681405056,20,"**"
"BOB","CAP4 Occurrence Rate","Bilateral","x3_hand_speed_peak_bias",-0.561286740889593,0.0153646333068997,0.315042805498462,20,"*"
"APM","CAP1->CAP7 Transition Probability","Bilateral","LH_abs_error_y_m",0.545357387630045,0.0192426220787061,0.297414680242668,20,"*"
"BOB","CAP4 Occurrence Rate","Bilateral","x2_stdev_bar_angle_rad",-0.496536184155642,0.036076111065329,0.246548182175846,20,"*"
"VGR","CAP4 Occurrence Rate","Bilateral","RH_posture_speed_m_s",-0.483372473537732,0.0421327577551838,0.233648948173985,20,"*"
"OH","CAP1->CAP7 Transition Probability","Bilateral","movement_area_left_hand_m_2",0.473414781351201,0.0472072373903168,0.224121555201806,20,"*"
"OH","CAP4 Occurrence Rate","Bilateral","hand_speed_left_m_s",-0.444802702251492,0.0643756484062982,0.197849443930229,20,""
"OH","CAP4 Occurrence Rate","Bilateral","movement_area_bias",0.441132412923061,0.0668753403440642,0.194597805731322,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_posture_speed_m_s",0.421152946028831,0.0817628652962885,0.177369803948763,20,""
"OH","CAP4 Occurrence Rate","Bilateral","hits_with_left",-0.432752656700553,0.0827358436683852,0.187274861881387,19,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_reaction_time_abs_diff_s",0.470819043863789,0.0892816230717538,0.221670572064812,16,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_targets_completed",0.395938951460806,0.103841678188411,0.156767653283882,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","LH_false_starts",0.383904728473477,0.128182855251176,0.147382840544294,19,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_right_hand_speed_maxima",0.369013398660112,0.13181795336651,0.136170888390687,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_abs_error_y_m",0.364375313447172,0.137121374068181,0.132769369049725,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","RH_initial_direction_angle_rad",-0.340860026406858,0.16629784169069,0.116185557602084,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_hand_path_bias",0.340229959275482,0.167133197396865,0.115756425188596,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_left_hand_speed_maxima",-0.337013127023551,0.171442466703581,0.113577847786192,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_right_hand_speed_maxima",-0.332947917721465,0.176994716664832,0.11085431591506,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_norm_absolute_hand_speed_diff",-0.332349921386585,0.177821531018708,0.110456470245669,20,""
"APM","CAP4 Occurrence Rate","Bilateral","RH_shift_y_m",-0.329447238614834,0.181871742558292,0.10853548303094,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_reaction_time_abs_diff_s",-0.376202303085204,0.184932366132564,0.141528172846611,16,""
"APM","CAP4 Occurrence Rate","Bilateral","RH_contraction_expansion_ratio_y",-0.326481314150105,0.1860735008176,0.10659004848918,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_hand_speed_diff_m_s",-0.335836195687424,0.187541672731007,0.112785950333802,19,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_shift_x_m",0.324833372979753,0.188435849661046,0.105516720201403,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_mean_right_hand_speed_m_s",-0.31561976688842,0.202011033297706,0.0996158372507008,20,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_variability_y_m",0.311758951336934,0.207885830130319,0.0971936437387048,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_bar_length_variability",-0.304171317467652,0.219754392359222,0.0925201903700068,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_right_hand_speed_maxima",-0.302931159095654,0.221735083601698,0.0917672871510367,20,""
