"task","metric","parameter","correlation","p_value","r_squared","n_obs","sig"
"BOB","Occurrence","x1_mean_bar_angle_rad",-0.557772278760042,0.0106057484583692,0.31110991495317,20,"*"
"APM","Occurrence","LH_abs_error_y_m",0.547234071064171,0.0125161835010696,0.299465128533466,20,"*"
"APM","transition_probability","LH_shift_x_m",0.493976463810903,0.026848400540722,0.244012746799125,20,"*"
"APM","Occurrence","LH_contraction_expansion_ratio_y",0.468197513345137,0.0373442567557076,0.21920891150257,20,"*"
"APM","transition_probability","LH_abs_error_x_m",-0.460843896116269,0.0408567143182947,0.212377096587623,20,"*"
"VGR","Occurrence","LH_speed_maxima_count",0.451637472680196,0.0456083211506001,0.203976406728955,20,"*"
"BOB","transition_probability","x2_mean_bar_angle_rad",0.440512547758199,0.0519046830432281,0.194051304732419,20,""
"VGR","Occurrence","LH_path_length_ratio",0.440346535863191,0.0520034157749848,0.193905071646713,20,""
"APM","Dwell_Time","LH_abs_error_y_m",0.427067669172932,0.0617253124825706,0.182386794052801,20,""
"VGR","Occurrence","RH_speed_maxima_count",0.423033766077117,0.0631110887093635,0.178957567241389,20,""
"APM","Occurrence","RH_abs_error_y_m",0.417764662229182,0.0668231829062182,0.174527313007462,20,""
"BOB","Occurrence","x2_mean_bar_angle_rad",-0.414001016623513,0.0695735083581559,0.171396841765302,20,""
"BOB","Dwell_Time","x2_mean_bar_angle_rad",-0.409022556390977,0.0745262874233974,0.16729945163661,20,""
"VGR","transition_probability","RH_path_length_ratio",-0.3930727349227,0.0864390926015159,0.154506174939611,20,""
"APM","Dwell_Time","LH_contraction_expansion_ratio_y",0.392481203007519,0.0879513757208946,0.154041494714229,20,""
"APM","Dwell_Time","RH_variability_x_m",0.390977443609023,0.0892564897315255,0.152863361411046,20,""
"BOB","Occurrence","x3_drops",0.388764595942569,0.0902555737770736,0.151137911058389,20,""
"BOB","Occurrence","x2_bar_length_variability",-0.380128206172499,0.0982770098676558,0.144497453127922,20,""
"BOB","transition_probability","x1_mean_bar_angle_rad",0.378012476879685,0.100318937101402,0.142893432676714,20,""
"BOB","Occurrence","x3_drops_targets",0.372542828353322,0.105740686415618,0.138788158957493,20,""
"BOB","Dwell_Time","x3_mean_bar_angle_rad",0.372932330827068,0.106074593932156,0.139078523376109,20,""
"BOB","Dwell_Time","x3_left_hand_speed_maxima",-0.346125003927848,0.134938950466985,0.119802518344053,20,""
"APM","Dwell_Time","RH_contraction_expansion_ratio_y",0.342857142857143,0.139150860121119,0.117551020408163,20,""
"BOB","Dwell_Time","x1_mean_bar_angle_rad",-0.342857142857143,0.139150860121119,0.117551020408163,20,""
"APM","Dwell_Time","RH_contraction_expansion_ratio_x",0.33984962406015,0.142825466565406,0.115497766973826,20,""
"BOB","Dwell_Time","x3_right_hand_speed_maxima",-0.33722264626788,0.145948745298622,0.113719113155912,20,""
"OH","Occurrence","hand_bias_of_hits",-0.334211729783345,0.149810536500742,0.111697480324776,20,""
"VGR","transition_probability","LH_movement_time_s",0.331325676946338,0.153578471383478,0.109776704203949,20,""
"OH","Occurrence","hand_speed_bias",-0.328189896814276,0.157746492949592,0.107708608370965,20,""
"APM","Occurrence","RH_shift_y_m",-0.32292079296634,0.164925157953334,0.10427783853001,20,""
"VGR","Occurrence","LH_initial_distance_ratio",-0.32292079296634,0.164925157953334,0.10427783853001,20,""
"BOB","Occurrence","x3_right_hand_speed_maxima",-0.322532027128862,0.165463562834414,0.104026908523853,20,""
"APM","transition_probability","RH_variability_y_m",-0.317771444707624,0.172154681882287,0.10097869107157,20,""
"BOB","Occurrence","x3_left_hand_speed_maxima",-0.309604541734818,0.184059612250515,0.0958549722628268,20,""
"VGR","transition_probability","RH_initial_speed_ratio",-0.309248583549748,0.184590832558223,0.0956346864275253,20,""
"VGR","Dwell_Time","LH_initial_speed_ratio",0.299848902116482,0.198995024099329,0.0899093641004598,20,""
"VGR","Occurrence","RH_reaction_time_s",-0.299811697349045,0.199053485051632,0.0898870538673155,20,""
"OH","Dwell_Time","hand_bias_of_hits",-0.299248120300752,0.199406427091642,0.0895494375035333,20,""
"APM","Dwell_Time","RH_variability_y_m",0.299248120300752,0.199406427091642,0.0895494375035333,20,""
"VGR","Occurrence","RH_path_length_ratio",0.295822544605529,0.205388387303004,0.08751097789689,20,""
"VGR","Occurrence","RH_initial_distance_ratio",-0.294317086363261,0.207813493711693,0.0866225473253594,20,""
"APM","transition_probability","RH_abs_error_y_m",-0.291415993132347,0.212540114132192,0.084923281053312,20,""
"BOB","transition_probability","x3_right_hand_speed_maxima",-0.287975896823835,0.218236143535485,0.0829301171514922,20,""
"BOB","transition_probability","x3_left_hand_speed_maxima",-0.280331654578831,0.231249231912756,0.0785858365589053,20,""
"BOB","transition_probability","x2_targets_completed",0.279643331990906,0.232445161799371,0.0782003931269763,20,""
"APM","Occurrence","RH_shift_x_m",-0.274746129213786,0.24106947047726,0.0754854355179584,20,""
"BOB","Dwell_Time","x3_mean_movement_time_s",-0.273684210526316,0.242002105501717,0.0749030470914128,20,""
"OH","transition_probability","hand_speed_bias",-0.270331631872125,0.249017808441032,0.0730791911906463,20,""
"OH","Occurrence","hits_with_right",-0.277166981401239,0.250635174405411,0.0768215355790745,19,""
"BOB","transition_probability","x3_mean_movement_time_s",-0.263554515752768,0.261542064872822,0.0694609827736763,20,""
"APM","Dwell_Time","RH_abs_error_y_m",0.255639097744361,0.275434001540904,0.0653513482955509,20,""
"APM","Occurrence","RH_contraction_expansion_ratio_y",0.255927901185445,0.276103321253225,0.0654990906051867,20,""
"BOB","Dwell_Time","x3_drops",0.251656859288635,0.284474056571581,0.0633311748270197,20,""
"BOB","Dwell_Time","x3_hand_speed_diff_m_s",0.257894736842105,0.285185191755077,0.0665096952908587,19,""
"OH","Dwell_Time","hand_transition",-0.24812030075188,0.290194327533905,0.0615636836452032,20,""
"VGR","Dwell_Time","LH_initial_distance_ratio",-0.243609022556391,0.299285371790743,0.0593453558708802,20,""
"APM","transition_probability","LH_contraction_expansion_ratio_x",0.243976180296849,0.299917416723553,0.0595243765522403,20,""
"BOB","transition_probability","x1_targets_completed",0.242501073340875,0.30294069818547,0.0588067705714765,20,""
"OH","transition_probability","total_hits",0.241145509315124,0.305735232309933,0.0581511566628505,20,""
"VGR","transition_probability","LH_speed_maxima_count",0.239458102883944,0.309235609729542,0.0573401830367775,20,""
"VGR","Occurrence","RH_initial_direction_angle_rad",0.239367860520504,0.309423488449388,0.0572969726501635,20,""
"BOB","transition_probability","x2_right_hand_speed_maxima",-0.238884770165295,0.310430422546355,0.0570659334169256,20,""
