"Task","Parameter","F(df1, df2)","p value","Session means (S1 -> S2 -> S3)"
"APM","RH_shift_x_m","F(2, 40) = 5.17","0.010","0.00976 -> -0.00246 -> -0.0106"
"VGR","LH_speed_maxima_count","F(2, 40) = 6.57","0.003","2.39 -> 2.26 -> 2.08"
"VGR","LH_path_length_ratio","F(2, 40) = 5.48","0.008","1.11 -> 1.1 -> 1.09"
"VGR","LH_initial_distance_ratio","F(2, 40) = 3.43","0.042","0.927 -> 0.928 -> 0.95"
"VGR","RH_initial_distance_ratio","F(2, 40) = 3.41","0.043","0.929 -> 0.943 -> 0.951"
"BOB","x1_targets_completed","F(2, 40) = 13.71","< 0.001","30.3 -> 31.8 -> 33.3"
"BOB","x1_mean_movement_time_s","F(2, 40) = 12.22","< 0.001","0.947 -> 0.847 -> 0.749"
"BOB","x2_mean_movement_time_s","F(2, 40) = 10.44","< 0.001","1.27 -> 1.12 -> 1.02"
"BOB","x1_mean_right_hand_speed_m_s","F(2, 40) = 10.03","< 0.001","0.0846 -> 0.0887 -> 0.0927"
"BOB","x3_mean_movement_time_s","F(2, 40) = 8.81","< 0.001","2.93 -> 2.24 -> 2.17"
"BOB","x2_targets_completed","F(2, 40) = 8.78","< 0.001","25.8 -> 27 -> 28.4"
"BOB","x3_targets_completed","F(2, 40) = 8.33","< 0.001","10.5 -> 12.3 -> 13.8"
"BOB","x1_mean_left_hand_speed_m_s","F(2, 40) = 8.02","0.001","0.0855 -> 0.0898 -> 0.0932"
"BOB","x2_mean_right_hand_speed_m_s","F(2, 40) = 7.97","0.001","0.0687 -> 0.0722 -> 0.0752"
"BOB","x2_mean_left_hand_speed_m_s","F(2, 40) = 6.60","0.003","0.0701 -> 0.0733 -> 0.0764"
"BOB","x1_reaction_time_abs_diff_s","F(2, 36.04) = 6.30","0.005","0.0348 -> 0.0272 -> 0.0262"
"BOB","x3_mean_right_hand_speed_m_s","F(2, 40) = 5.35","0.009","0.0549 -> 0.0613 -> 0.066"
"BOB","x3_mean_left_hand_speed_m_s","F(2, 40) = 4.13","0.023","0.0554 -> 0.0619 -> 0.0661"
"OH","total_hits","F(2, 40) = 4.71","0.015","235 -> 240 -> 245"
